Camera,Point_ID,X_m,Y_m,Z_m,Clicked_X_px,Clicked_Y_px,Projected_X_px,Projected_Y_px,Residual_px,Camera_true_RMSE_px,Robust_inlier_count,Robust_inlier_RMSE_px
cam04,P03,0.0,0.75,0.0,654.38330078125,535.67236328125,662.695976587671,535.4987185655482,8.31448925370333,12.116315157890577,18,4.1704701730137606
cam04,P04,1.350000023841858,0.75,0.0,444.4105529785156,570.6678466796875,458.8744113053734,566.8688772530834,14.95444303221242,12.116315157890577,18,4.1704701730137606
cam04,P05,2.700000047683716,0.75,0.0,183.0382080078125,615.5057373046875,206.947313418617,603.8514213423622,26.598278179135423,12.116315157890577,18,4.1704701730137606
cam04,P06,-2.700000047683716,2.1500000953674316,0.0,1115.885986328125,509.42578125,1114.8444797291595,512.5330268136292,3.277149826965854,12.116315157890577,18,4.1704701730137606
cam04,P07,-1.350000023841858,2.1500000953674316,0.0,973.7169189453125,541.1404418945312,973.1708398956517,541.0902734575718,0.5483787017612496,12.116315157890577,18,4.1704701730137606
cam04,P08,0.0,2.1500000953674316,0.0,800.9268188476562,577.2294921875,801.032424456077,575.034555301974,2.19747593296773,12.116315157890577,18,4.1704701730137606
cam04,P09,1.350000023841858,2.1500000953674316,0.0,586.57958984375,620.9738159179688,587.0580183660918,616.0714823062387,4.925623685553726,12.116315157890577,18,4.1704701730137606
cam04,P10,2.700000047683716,2.1500000953674316,0.0,309.8967590332031,680.0286254882812,314.1594194343089,666.3378046206678,14.339067254331232,12.116315157890577,18,4.1704701730137606
cam04,P11,-2.700000047683716,3.549999952316284,0.0,1297.4249267578125,544.4212646484375,1290.003838918093,544.3459931202093,7.421469566588248,12.116315157890577,18,4.1704701730137606
cam04,P12,-1.350000023841858,3.549999952316284,0.0,1149.787841796875,581.6039428710938,1150.2115194475882,580.4966968146618,1.185536410743202,12.116315157890577,18,4.1704701730137606
cam04,P13,0.0,3.549999952316284,0.0,976.9977416992188,627.5354614257812,976.425752301809,624.5992477336538,2.991408149448349,12.116315157890577,18,4.1704701730137606
cam04,P14,1.350000023841858,3.549999952316284,0.0,761.5569458007812,684.403076171875,754.2719686765864,679.7323848841881,8.653684117467874,12.116315157890577,18,4.1704701730137606
cam04,P15,2.700000047683716,3.549999952316284,0.0,470.65716552734375,758.7684326171875,459.8082925190095,750.4839514418406,13.650299406813009,12.116315157890577,18,4.1704701730137606
cam04,P16,-2.700000047683716,4.949999809265137,0.0,1508.4913330078125,584.884765625,1507.2522239716345,582.5998090869346,2.599310982623268,12.116315157890577,18,4.1704701730137606
cam04,P17,-1.350000023841858,4.949999809265137,0.0,1372.8839111328125,633.0034790039062,1375.5907710372048,629.4837096595234,4.440255260642618,12.116315157890577,18,4.1704701730137606
cam04,P18,0.0,4.949999809265137,0.0,1199.000244140625,689.87109375,1206.4250448916587,688.5473130329001,7.541887136487507,12.116315157890577,18,4.1704701730137606
cam04,P19,1.350000023841858,4.949999809265137,0.0,983.5593872070312,764.2364501953125,981.6979584256563,765.4487327905597,2.2213838477107344,12.116315157890577,18,4.1704701730137606
cam04,P20,2.700000047683716,4.949999809265137,0.0,685.0043334960938,868.1292724609375,668.3846762582026,869.9622002204015,16.720425559070005,12.116315157890577,18,4.1704701730137606
cam04,P21,-2.700000047683716,6.349999904632568,0.0,1793.9229736328125,641.7523803710938,1778.8178034728078,628.0156252888021,20.41726244513605,12.116315157890577,18,4.1704701730137606
cam04,P22,-1.350000023841858,6.349999904632568,0.0,1667.064453125,704.0880126953125,1668.9224433958507,690.6079978214536,13.607458574106774,12.116315157890577,18,4.1704701730137606
cam04,P23,0.0,6.349999904632568,0.0,1507.397705078125,779.5469970703125,1519.9408534909626,773.0434216274145,14.128944251002451,12.116315157890577,18,4.1704701730137606
cam04,P24,1.350000023841858,6.349999904632568,0.0,1295.2376708984375,880.158935546875,1309.1873940016205,886.4658010905928,15.309190953215424,12.116315157890577,18,4.1704701730137606
cam04,P25,2.700000047683716,6.349999904632568,0.0,994.4954833984375,1027.7960205078125,991.4299216087528,1052.6287755532862,25.0212588059609,12.116315157890577,18,4.1704701730137606
cam04,P26,-3.450000047683716,1.600000023841858,0.5,1129.00927734375,416.4690856933594,1125.5267486450462,420.8714534431812,5.6132742621367955,12.116315157890577,18,4.1704701730137606
cam04,P27,-3.450000047683716,1.600000023841858,1.0,1130.1029052734375,346.4781494140625,1127.2642206221415,352.07600190738515,6.276470591542852,12.116315157890577,18,4.1704701730137606
cam04,P28,-3.450000047683716,1.600000023841858,1.5,1134.477294921875,276.48724365234375,1128.9740433463771,282.1661822317072,7.907978331495487,12.116315157890577,18,4.1704701730137606
cam04,P29,-3.450000047683716,1.600000023841858,2.0,1141.0389404296875,197.74745178222656,1130.6526994820942,211.10263868201883,16.918481555678863,12.116315157890577,18,4.1704701730137606
cam04,P30,-3.450000047683716,1.600000023841858,2.299999952316284,1142.132568359375,152.90951538085938,1131.6424994452336,167.89575560382696,18.292865872900467,12.116315157890577,18,4.1704701730137606
